species_key_lookup,scientific_name,common_name_en,common_name_de
3152365,Malva alcea,Cut-leaf Mallow,Garten-Stockrose
3152379,Malva moschata,Musk Mallow,Abelmoschus
3152373,Malva neglecta,Buttonweed,Chaeslichrut
3152374,Malva sylvestris,Blue Mallow,Garten-Malve
3940326,Malva trimestris,Royal Mallow,Sommer-Strauchpappel
2965527,Medicago arabica,Burclover,Arabischer Schneckenklee
2965354,Medicago falcata,Sickle Medick,Gelbe Luzerne
2965201,Medicago lupulina,Black Medic,Gelbklee
8073758,Medicago minima,Bur Medick,Zwerg-Schneckenklee
3031774,Mespilus germanica,Medlar,Deutsche Mispel
2928774,Nicotiana tabacum,Cultivated tobacco,Echter Tabak
2874984,Nothofagus obliqua,roble beech,""
2891677,Oxalis dillenii,Common Yellow Woodsorrel,Dillenius' Sauerklee
3170823,Paulownia tomentosa,Empresstree,Blauglockenbaum
3084022,Phytolacca acinosa,American Pokeweed,Essbare Kermesbeere
3084015,Phytolacca americana,American Nightshade,Amerikanische Kermesbeere
7400250,Platanus hispanica,American Plane,Ahornblättrige Platane
3191414,Polygala serpyllifolia,Heath Milkwort,Quendel-Kreuzblume
3191374,Polygala vulgaris,Common Milkwort,Gemeine Kreuzblume
7818643,Prunus armeniaca,Apricot,Aprikose
3021922,Prunus cerasus,Amarelle Cherry,Artengruppe Sauer-Kirsche
7931731,Prunus domestica,Bullace plum,Eigentliche Krieche
3022789,Prunus mahaleb,Gandhi cherry,Felsen-Kirsche
3190411,Ptelea trifoliata,American Hop Tree,Dreiblättriger Lederstrauch
8288647,Pterocarya fraxinifolia,Caucasian Walnut,Eschenblättrige Flügelnuss
2988188,Pyracantha coccinea,Firethorn,Europäischer Feuerdorn
2877951,Quercus oblongata,Acorn,Eiche
3039491,Rhamnus cathartica,Buckthorn,Gemeiner Kreuzdorn
6371028,Rhamnus saxatilis,Rock Buckthorn,Artengruppe Felsen-Kreuzdorn
2883073,Rhododendron ferrugineum,Alpenrose,Rostblaettrige Alpenrose
2882984,Rhododendron groenlandicum,Bog Labrador Tea,Grönländischer Porst
7327990,Rhododendron ponticum,Pontian rhododendron,Pontische Alpenrose
3190538,Rhus typhina,Stag's-Horn Sumach,Essigbaum
2986184,Ribes alpinum,Alpine currant,Alpen-Johannisbeere
2986111,Ribes aureum,Buffalo Currant,Gold-Johannisbeere
2986192,Ribes nigrum,Black Currant,Ahlbeere
2986097,Ribes rubrum,Common Currant,Ribisel
2986130,Ribes sanguineum,Flowering Currant,Blut-Johannisbeere
2986185,Ribes uva-crispa,Common-gooseberry,Chrosle
5352251,Robinia pseudoacacia,Black Locust,Falsche Akazie
2988972,Rubus pruinosus,Pruinose Bramble,Bereifte Haselblatt-Brombeere
7103891,Salix triandra,Almond Willow,Mandel Weide
2927026,Salvia glutinosa,Jupiter's distaff,Gelber Salbei
2927028,Salvia nemorosa,Balkan Clary,Hain-Salbei
2927004,Salvia officinalis,Common Sage,Echte Salbei
2927007,Salvia pratensis,Introduced sage,Artengruppe Wiesen-Salbei
2926995,Salvia verticillata,Lilac Sage,Quirl-Salbei
2888722,Sambucus ebulus,Danewort,Attich
8800,Schefflera macrophylla,Aralia and Ivy family,Araliengewächse
3105813,Sonchus arvensis,Corn Sow Thistle,Acker-Gaensedistel
3105782,Sonchus asper,Native Sow-Thistle,Dornige Gänsedistel
3027159,Spiraea douglasii,Douglas Spiraea,Douglas' Spierstrauch
3026819,Spiraea tomentosa,Hardhack,Filziger Spierstrauch
8012439,Symphoricarpos albus,Common Snowberry,""
5415039,Syringa vulgaris,Common Lilac,Flieder
5284272,Taiwania cryptomerioides,Chinese coffintree,Taiwanien
6420771,Taxus media,Anglo-Japanese yew,""
2882841,Vaccinium macrocarpon,American Cranberry,Grossfruechtige Moosbeere
2882833,Vaccinium myrtillus,Bilberry,"Blaubeere, Heidelbeere"
2882940,Vaccinium oxycoccos,Cramberry,Gemeine Moosbeere
2882835,Vaccinium vitis-idaea,Alpine Cranberry,Kronsbeere
3172082,Veronica agrestis,Field Speedwell,Acker-Ehrenpreis
3172086,Veronica anagallis-aquatica,Blue Water Speedwell,Blauer Wasser-Ehrenpreis
3172048,Veronica arvensis,Common Speedwell,Feld-Ehrenpreis
3172099,Veronica austriaca,Austrian Speedwell,Oesterreicher Ehrenpreis
3172062,Veronica beccabunga,Brooklime,Bach-Ehrenpreis
3172092,Veronica catenata,Chain Speedwell,Blasser Gauchheil-Ehrenpreis
3172100,Veronica filiformis,Creeping Speedwell,Faden-Ehrenpreis
3172070,Veronica hederifolia,Ivy Leaved Speedwell,Efeu-Ehrenpreis
3172118,Veronica longifolia,Garden Speedwell,Artengruppe Strand-Ehrenpreis
3172049,Veronica officinalis,Common Gypsyweed,Echter Ehrenpreis
3172072,Veronica scutellata,Grass-leaf Speedwell,Schild-Ehrenpreis
3172057,Veronica serpyllifolia,Thyme Leaved Speedwell,Quendel-Ehrenpreis
3172059,Veronica spicata,Breckland Spiked Speedwell,Ähren-Ehrenpreis
3725447,Veronica sublobata,False Ivy-Leaved Speedwell,Hain-Efeuehrenpreis
3725062,Veronica teucrium,Large Speedwell,Grosser Ehrenpreis
2888625,Viburnum rhytidophyllum,Leatherleaf Arrowwood,Runzelblaettriger Schneeball
2775561,Yucca filamentosa,Adam's Needle,Faedige Palmlilie
7681436,Cytisus multiflorus,Portuguese broom,Vielblütiger Geißklee
2925366,Clerodendrum trichotomum,Chance Tree,Japanischer Losbaum
