"level3_species","species_key","de_observations","common_name_en"
"Ribes nigrum",2986192,112,"Black Currant"
"Prunus domestica",7931731,106,"Bullace plum"
"Salvia officinalis",2927004,105,"Common Sage"
"Ptelea trifoliata",3190411,102,"American Hop Tree"
"Sonchus palustris",3105650,101,"Marsh Sow-thistle"
"Malva neglecta",3152373,97,"Buttonweed"
"Medicago varia",2965331,95,"Sand Lucerne"
"Paulownia tomentosa",3170823,95,"Empresstree"
"Pinus mugo",5285385,94,"Dwarf Mountain-pine"
"Abies grandis",2685361,91,"Giant Fir"
"Salvia verticillata",2926995,91,"Lilac Sage"
"Ribes aureum",2986111,86,"Buffalo Currant"
"Salix cinerea",5372605,86,"Common Sallow"
"Euphorbia palustris",3064056,82,"Marsh Spurge"
"Pyracantha coccinea",2988188,82,"Firethorn"
"Chaenomeles japonica",3000610,81,"Flowering-quince"
"Veronica scutellata",3172072,80,"Grass-leaf Speedwell"
"Salix viminalis",5372933,77,"Basket willow"
"Swertia perennis",5414540,77,"Alpinebog Swertia"
"Juglans nigra",3054357,76,"American walnut"
"Cotoneaster horizontalis",3025617,72,NA
"Chenopodium ficifolium",3083862,70,"Fig-leaf Goosefoot"
"Cytisus nigricans",5356805,67,"Black Broom"
"Isotrema macrophyllum",2873995,66,"Dutchman's-pipe"
"Veronica longifolia",3172118,66,"Garden Speedwell"
"Cotoneaster integerrimus",3025576,64,"Common Cotoneaster"
"Catalpa bignonioides",3172615,61,"American catalpa"
"Cotinus coggygria",3190522,61,"European Smoketree"
"Salix repens",9148812,58,"Creeping Willow"
"Eudonia truncicolella",1879630,57,"Ground-moss Grey"
"Chamaecyparis lawsoniana",2683866,55,"Ginger Pine"
"Pinus nigra",5284809,55,"Australian pine"
"Amelanchier lamarckii",3024109,53,"Juneberry"
"Alnus alnobetula",8956987,52,"European Green Alder"
"Rhododendron ferrugineum",2883073,52,"Alpenrose"
"Rubus bifrons",2995779,51,"European Blackberry"
"Euonymus latifolius",7433196,50,"Large-Leaved Spindle"
"Thuja plicata",2684171,50,"Canoe Cedar"
"Lycium barbarum",2928835,48,"Barbary Matrimony-vine"
"Veronica anagallis-aquatica",3172086,48,"Blue Water Speedwell"
"Sequoiadendron giganteum",2684120,47,"Bigtree"
"Polygala serpyllifolia",3191414,45,"Heath Milkwort"
"Corylus colurna",2875968,43,"Byzantine filbert"
"Salix eleagnos",5372655,42,"Bitter Willow"
"Berberis julianae",3981543,41,"Berberis lempergiana"
"Nicotiana tabacum",2928774,41,"Cultivated tobacco"
"Medicago minima",8073758,40,"Bur Medick"
"Chamaemespilus alpina",3025093,37,NA
"Cornus alba",8365953,37,"Red-bark Dogwood"
"Salvia nemorosa",2927028,37,"Balkan Clary"
"Elaeagnus angustifolia",3039269,36,"Oleaster"
"Hibiscus syriacus",3152583,34,"Althea"
"Liriodendron tulipifera",3152861,34,"American tuliptree"
"Salix pentandra",5372647,33,"Bay Willow"
"Salix triandra",7103891,33,"Almond Willow"
"Spiraea douglasii",3027159,33,"Douglas Spiraea"
"Veronica triphyllos",3172119,32,"Finger speedwell"
"Prunus cerasus",3021922,31,"Amarelle Cherry"
"Populus canadensis",8190077,30,"Canada poplar"
"Pterocarya fraxinifolia",8288647,30,"Caucasian Walnut"
"Cornus sericea",3082244,29,"American dogwood"
"Fraxinus pennsylvanica",3172348,29,"Downy Ash"
"Aria collina",9453938,28,NA
"Prunus armeniaca",7818643,28,"Apricot"
"Abutilon theophrasti",3152614,27,"Abutilon-hemp"
"Prunus persica",8149923,27,"Peach"
"Rhamnus saxatilis",6371028,27,"Rock Buckthorn"
"Corylus maxima",2876049,26,"Filbert"
"Salix fragilis",5372829,26,"Brittle Willow"
"Pyrus pyraster",5362445,24,"Wild Pear"
"Larix kaempferi",2686157,23,"Japanese Larch"
"Tsuga heterophylla",2687210,23,"Pacific hemlock"
"Veronica catenata",3172092,23,"Chain Speedwell"
"Erigeron sumatrensis",3146683,22,"Bilbao fleabane, Tall Fleabane"
"Vaccinium macrocarpon",2882841,22,"American Cranberry"
"Ficus carica",5361909,21,"Common Fig"
"Prunus virginiana",3022668,20,"Bitter-berry"
"Salix babylonica",5372639,20,"Babylon Weeping Willow"
"Tsuga canadensis",2687182,20,"Black Hemlock"
"Veronica agrestis",3172082,20,"Field Speedwell"
"Oxalis dillenii",2891677,19,"Common Yellow Woodsorrel"
"Platanus hispanica",7400250,19,"American Plane"
"Salix myrsinifolia",5372875,19,"Blueberry Willow"
"Symphoricarpos chenaultii",3855595,19,"Chenault coralberry"
"Eudonia delunella",1879735,18,"Pied Grey"
"Rhododendron groenlandicum",2882984,18,"Bog Labrador Tea"
"Ilex macrophylla",10792217,17,"Holly"
"Pinus uncinata",5285332,17,"Mountain Pine"
"Spiraea salicifolia",3026454,17,"Bridal-spray"
"Ginkgo biloba",2687885,16,"Common Ginkgo"
"Gleditsia triacanthos",2959443,16,"Common Honey-locust"
"Salix appendiculata",5583213,16,NA
"Veronica verna",3172116,16,"Spring Speedwell"
"Rhamnus alpina",2407,15,"Blinkblaars and Dogwoods"
"Veronica polita",3172074,15,"Elegant speedwell"
"Fraxinus ornus",3172347,14,"Manna Ash"
"Veronica austriaca",3172099,14,"Austrian Speedwell"
"Caragana arborescens",2943190,13,"Black Karagana"
"Arctostaphylos alpinus",8317978,12,"Alpine Bearberry"
"Aria danubialis",9573476,12,NA
"Blastobasis phycidella",1852751,12,"Hampshire Dowd"
"Metasequoia glyptostroboides",5284231,12,"Chinese redwood"
"Rhododendron ponticum",7327990,12,"Pontian rhododendron"
"Veronica fruticans",3172054,12,"Rock Speedwell"
"Chenopodium giganteum",3756077,11,"Tree Spinach"
"Hypericum androsaemum",3189525,11,"Bible-leaf"
"Kalmia angustifolia",2883007,11,"Dwarf-laurel"
"Picea sitchensis",5284827,11,"Sitka Spruce"
"Pinus cembra",5285134,11,"Arolla Pine"
"Rubus pruinosus",2988972,11,"Pruinose Bramble"
"Betula humilis",5331629,10,"Shrubby Birch"
"Deutzia scabra",2985965,10,"Deutzia"
"Hibiscus trionum",3152560,10,"Bladder Ketmia"
"Picea pungens",5284871,10,"Blue Spruce"
"Salix hastata",5372554,10,"Halberd Willow"
"Vaccinium corymbosum",2882849,10,"American Blueberry"
"Abies nordmanniana",2685552,9,"Caucasian Fir"
"Salvia sclarea",2927000,9,"Clary"
"Veronica dillenii",3172053,9,"Dillenius' Speedwell"
"Arctostaphylos spec",2882486,8,"Bearberries"
"Heliotropium europaeum",2925767,8,"European Turn-sole"
"Ipomoea purpurea",2928576,8,"Annual Morning Glory"
"Opuntia humifusa",5384047,8,"Creeping prickly-pear"
"Salix daphnoides",9153437,8,"European Violet-Willow"
"Symphoricarpos orbiculatus",2888636,8,"Buck Brush"
"Thuja occidentalis",2684178,8,"American Arbor-Vitae"
"Aesculus carnea",3189809,7,"Red Horse-chestnut"
"Aucuba japonica",3033077,7,"Japanese acuba"
"Medicago arabica",2965527,7,"Burclover"
"Pinus ponderosa",5285053,7,"Bull Pine"
"Populus canescens",3040185,7,"Gray Poplar"
"Ambrosia psilostachya",3110686,6,"Cuman Ragweed"
"Betula nana",5332004,6,"Arctic dwarf birch"
"Veronica peregrina",3172104,6,"American Speedwell"
"Veronica triloba",3724778,6,"Trilobed Speedwell"
"Abies procera",2685308,5,"Christmastree"
"Acer pseudoplatanus",3189870,5,NA
"Alnus pubescens",2876571,5,NA
"Amelanchier embergeri",8093727,5,NA
"Aralia elata",3036892,5,"Japanese Angelica Tree"
"Cedrus atlantica",5284702,5,"Atlantic cedar"
"Chenopodium vulvaria",3083932,5,"Fish Guts Plant"
"Cryptomeria japonica",5284237,5,"Japanese Cedar"
"Hamamelis mollis",7889215,5,"Chinese witch hazel"
"Hypericum calycinum",3189497,5,"Aaron's beard"
"Lupinus luteus",2963817,5,"Annual Yellow-lupin"
"Malva thuringiaca",3940423,5,"Eastern Tree-mallow"
"Malva trimestris",3940326,5,"Royal Mallow"
"Morus alba",5361889,5,"Asian Mulberry"
"Opuntia phaeacantha",5384038,5,"Brown-spined Prickly-pear"
"Ricinus communis",5380041,5,"Castor"
"Abies concolor",2685580,4,"Balsam Fir"
"Acer campestre",3189863,4,"Field Maple"
"Actinidia chinensis",3189694,4,"Chinese gooseberry"
"Atadinus pumilus",9413479,4,NA
"Cercis siliquastrum",5353590,4,"Judas Tree"
"Clethra alnifolia",2888323,4,"Coastal Sweet Pepperbush"
"Erigeron strigosus",3146632,4,"Common Eastern Fleabane"
"Eudonia murana",1879534,4,"Moorland Grey"
"Hedlundia pseudothuringiaca",9477048,4,NA
"Kalmia procumbens",7601217,4,NA
"Ligustrum ovalifolium",3172291,4,"California Privet"
"Liquidambar styraciflua",3152824,4,"Alligator-wood"
"Lycium chinense",2928809,4,"Chinese Teaplant"
"Picea omorika",5284950,4,"Serbian Spruce"
"Populus balsamifera",3040184,4,"Balsam Poplar"
"Prunus lusitanica",3020871,4,"Portugal Laurel"
"Rhodotypos scandens",3032442,4,"Black Jetbead"
"Ribes spicatum",2986129,4,"Downy Currant"
"Salix glabra",5583850,4,"Glabrous willow"
"Salvia hispanica",2926992,4,"Chia"
"Spiraea tomentosa",3026819,4,"Hardhack"
"Veronica alpina",3172050,4,"Alpine Speedwell"
"Viburnum tinus",2888585,4,"Laurestine"
"Acericecis vitrina",4521814,3,NA
"Araucaria araucana",2684984,3,"Chile pine"
"Carya glabra",3054325,3,"Common hickory"
"Catalpa speciosa",3172612,3,"Northern Catalpa"
"Celtis australis",2984492,3,"European Hackberry"
"Chaenomeles speciosa",3000679,3,"Chinese Quince"
"Cotoneaster acutifolius",3025770,3,"Ampfield Cotoneaster"
"Crataegus media",3013800,3,"intermediate hawthorn"
"Cytisus multiflorus",7681436,3,"Portuguese broom"
"Elaeagnus umbellata",3039267,3,"Autumn Elaeagnus"
"Erigeron bonariensis",3146717,3,"Argentine Fleabane"
"Eudonia laetella",1879522,3,NA
"Hydrangea macrophylla",2985994,3,"Bigleaf Hydrangea"
"Karpatiosorbus hoppeana",9394023,3,NA
"Morus nigra",5361888,3,"Black Mulberry"
"Nicotiana rustica",2928775,3,"Aztec Tobacco"
"Populus trichocarpa",6362904,3,"Balsam Poplar"
"Salix starkeana",7266759,3,"Bebb willow"
"Sequoia sempervirens",2683909,3,"California Redwood"
"Spiraea chamaedryfolia",3026406,3,"Elm-Leaved Spiraea"
"Aesculus parviflora",3189828,2,"Bottlebrush Buckeye"
"Alnus rubra",2876176,2,"Oregon alder"
"Amelanchier arborea",3024052,2,"Allegheny Serviceberry"
"Aralia californica",3037060,2,"California Spikenard"
"Berberis ottawensis",3033898,2,"Ottawa Barberry"
"Broussonetia papyrifera",5361944,2,"Paper Mulberry"
"Castanea dentata",5333230,2,"American Chestnut"
"Celastrus orbiculatus",3169169,2,"Asian Bittersweet"
"Celosia argentea",3085191,2,"Cockscomb"
"Cercidiphyllum japonicum",8060423,2,"Katsura"
"Chenopodium opulifolium",3083903,2,"Broad-Leaved Goosefoot"
"Cornus canadensis",3082270,2,"Bunchberry"
"Cornus suecica",3082246,2,"Dwarf Cornel"
"Cotoneaster ambiguus",3025858,2,"Ambiguous Cotoneaster"
"Cotoneaster microphyllus",3025626,2,"Small-Leaved Cotoneaster"
"Crataegus crus-galli",3013404,2,"Bush Hawthorn"
"Crataegus rhipidophylla",9047268,2,"Calycine Hawthorn"
"Cupressus sempervirens",2684030,2,"Italian Cypress"
"Cytisus striatus",5354707,2,"Hairy Fruited Broom"
"Eudonia petrophila",1879567,2,NA
"Eudonia sudetica",1879703,2,NA
"Euonymus alatus",3169120,2,"Burning Bush"
"Gaultheria procumbens",2882753,2,"Checkerberry"
"Hedlundia mougeotii",9312105,2,"Mougeot's Whitebeam"
"Karpatiosorbus eystettensis",9565114,2,NA
"Karpatiosorbus meyeri",9508936,2,NA
"Malus purpurea",3001270,2,"Purple crab apple"
"Malus transitoria",3001632,2,"Small-fruited Crab Apple"
"Malva arborea",3935079,2,"Tree Mallow"
"Malva verticillata",3152377,2,"Chinese Mallow"
"Nicotiana plumbaginifolia",2928768,2,"Tex-Mex Tobacco"
"Opuntia ficus-indica",5384064,2,"Barbary fig"
"Opuntia howeyi",5619437,2,NA
"Pereskia bleo",2519,2,"Cacti"
"Pinus rigida",5285635,2,"Hard Pine"
"Prunus amygdalus",3020980,2,"Almond"
"Punica granatum",5420901,2,NA
"Ribes multiflorum",2986131,2,"manyflower currant"
"Salix myrtilloides",7482782,2,"Swamp Willow"
"Syringa komarowii",6433201,2,"Nodding Lilac"
"Taiwania cryptomerioides",5284272,2,"Chinese coffintree"
"Tilia europaea",3152046,2,"Common Lime"
