level3_species,level2_genus,level1_family,level0,species_key
Strobilanthes abbreviata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769392
Strobilanthes adenophora,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769332
Strobilanthes adnata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769324
Strobilanthes adpressa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769317
Strobilanthes afriastiniae,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769302
Strobilanthes albostriata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769252
Strobilanthes alboviridis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769243
Strobilanthes amabilis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769234
Strobilanthes anamallaica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769218
Strobilanthes andamanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769181
Strobilanthes andersonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769174
Strobilanthes angustifrons,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769159
Strobilanthes antonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769120
Strobilanthes apoensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769114
Strobilanthes aprica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769099
Strobilanthes arborea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769092
Strobilanthes arenicola,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769088
Strobilanthes argentea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769080
Strobilanthes arnottiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769063
Strobilanthes assimulata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769016
Strobilanthes asymmetrica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769009
Strobilanthes atropurpurea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769000
Strobilanthes aurita,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768963
Strobilanthes autapomorpha,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768945
Strobilanthes axilliflora,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768937
Strobilanthes backeri,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768930
Strobilanthes bantonensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768912
Strobilanthes barisanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768887
Strobilanthes involucrata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768976
Strobilanthes japonica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769041
Strobilanthes sabiniana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778438
Strobilanthes saccata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778431
Strobilanthes saltiensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778417
Strobilanthes sarmentosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778394
Strobilanthes scaber,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778377
Strobilanthes scabrida,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778371
Strobilanthes schomburgkii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778364
Strobilanthes scrobiculata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778351
Strobilanthes secunda,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778344
Strobilanthes serrata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778326
Strobilanthes sessilis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778319
Strobilanthes setosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778303
Strobilanthes shanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778234
Strobilanthes simonsii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778201
Strobilanthes simplex,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778192
Strobilanthes spathulata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778177
Strobilanthes speciosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778167
Strobilanthes spicata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778158
Strobilanthes squalens,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778148
Strobilanthes steenisiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778140
Strobilanthes stenodon,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778128
Strobilanthes stenura,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778114
Strobilanthes stolonifera,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778107
Strobilanthes straminea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778098
Strobilanthes strigosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778091
Strobilanthes subnudata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778059
Strobilanthes sulawesiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778041
Strobilanthes sulfurea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778031
Strobilanthes sumatrana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778022
Strobilanthes sylvestris,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778006
Strobilanthes szechuanica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777995
Strobilanthes tamburensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777986
Strobilanthes tanakae,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777982
Strobilanthes tawadana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777957
Strobilanthes tenax,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777944
Strobilanthes tenuiflora,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777931
Strobilanthes teraoi,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777925
Strobilanthes tetrasperma,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777911
Strobilanthes thomsonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777889
Strobilanthes thwaitesii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777876
Strobilanthes tibetica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777865
Strobilanthes timorensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777855
Strobilanthes tomentosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777845
Strobilanthes tonkinensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777838
Strobilanthes torrentium,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777829
Strobilanthes trichantha,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777815
Strobilanthes tristis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777775
Strobilanthes truncata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777766
Strobilanthes tubiflos,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777756
Strobilanthes urceolaris,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777734
Strobilanthes urophylla,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777723
Strobilanthes vallicola,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777707
Strobilanthes verruculosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777691
Strobilanthes versicolor,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777684
Strobilanthes vestita,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777677
Strobilanthes violascens,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777652
Strobilanthes violifolia,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777642
Strobilanthes viscosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777615
Strobilanthes wakasana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777600
Strobilanthes wallichii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777822
Strobilanthes warburgii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777565
Strobilanthes wardiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777555
Strobilanthes wightiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777531
Strobilanthes willisii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777523
Strobilanthes wilsonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777512
Strobilanthes winckelii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777504
Strobilanthes xanthosticta,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777487
Strobilanthes yunnanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777471
Strobilanthes zenkeriana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777463
Strobilanthes zeylanica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3777452
Actinidia acuminata,Actinidia,Actinidiaceae, Deciduous Broadleaf,8536286
Actinidia arguta,Actinidia,Actinidiaceae, Deciduous Broadleaf,3189693
Actinidia callosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270822
Actinidia chengkouensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644958
Actinidia chinensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3189694
Actinidia chrysantha,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644863
Actinidia cylindrica,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270769
Actinidia eriantha,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270743
Actinidia farinosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644671
Actinidia fasciculoides,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270738
Actinidia fortunatii,Actinidia,Actinidiaceae, Deciduous Broadleaf,4940350
Actinidia fulvicoma,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270728
Actinidia glaucocallosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,4940352
Actinidia grandiflora,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644500
Actinidia hemsleyana,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270703
Actinidia henryi,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270699
Actinidia holotricha,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644442
Actinidia hubeiensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644435
Actinidia hybr,Actinidia,Actinidiaceae, Deciduous Broadleaf,6713009
Actinidia indochinensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270690
Actinidia jijiangensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,7991626
Actinidia kolomikta,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270682
Actinidia laevissima,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270671
Actinidia lanceolata,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644300
Actinidia latifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,8246677
Actinidia liangguangensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644261
Actinidia lijiangensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3645065
Actinidia linguiensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3645051
Actinidia longicarpa,Actinidia,Actinidiaceae, Deciduous Broadleaf,3645033
Actinidia macrosperma,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270820
Actinidia melanandra,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270801
Actinidia melliana,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644926
Actinidia obovata,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644911
Actinidia pentapetala,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644897
Actinidia persicina,Actinidia,Actinidiaceae, Deciduous Broadleaf,7804915
Actinidia pilosula,Actinidia,Actinidiaceae, Deciduous Broadleaf,7749752
Actinidia polygama,Actinidia,Actinidiaceae, Deciduous Broadleaf,3189692
Actinidia rongshuiensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644782
Actinidia rubricaulis,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270767
Actinidia rubus,Actinidia,Actinidiaceae, Deciduous Broadleaf,7631229
Actinidia rudis,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270759
Actinidia rufa,Actinidia,Actinidiaceae, Deciduous Broadleaf,7696280
Actinidia rufotricha,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270752
Actinidia sabiifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,4940353
Actinidia scabiifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,8392484
Actinidia sorbifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644687
Actinidia stellatopilosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644681
Actinidia strigosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,7503565
Actinidia styracifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644665
Actinidia suberifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644658
Actinidia tetramera,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270734
Actinidia trichogyna,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644603
Actinidia ulmifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644583
Actinidia umbelloides,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270724
Actinidia valvata,Actinidia,Actinidiaceae, Deciduous Broadleaf,7270720
Actinidia venosa,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644540
Actinidia vitifolia,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644525
Actinidia volubilis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644519
Actinidia zhejiangensis,Actinidia,Actinidiaceae, Deciduous Broadleaf,3644503
Saurauia adenodonta,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644527
Saurauia aequatoriensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270705
Saurauia aesculifolia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644481
Saurauia aguaricana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644457
Saurauia albiflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644446
Saurauia alkmaarensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644439
Saurauia alloplectifolia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644431
Saurauia alpicola,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644424
Saurauia altissima,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644417
Saurauia altiterra,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644410
Saurauia alvarezii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644401
Saurauia amoena,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644376
Saurauia ampla,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644368
Saurauia andreana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644330
Saurauia angica,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644322
Saurauia angustifolia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644290
Saurauia arcana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644255
Saurauia armata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3645061
Saurauia arnoldii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3645047
Saurauia aromatica,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644731
Saurauia aspera,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270824
Saurauia biserrata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644902
Saurauia bogoriensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644872
Saurauia borneensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644854
Saurauia brachybotrys,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270775
Saurauia bracteosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644802
Saurauia bullosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644719
Saurauia capitulata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644646
Saurauia cauliflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644589
Saurauia chiliantha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644543
Saurauia chocoensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644530
Saurauia choriophylla,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644517
Saurauia clementis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644499
Saurauia collina,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644492
Saurauia comitis-rossei,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644466
Saurauia conferta,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644459
Saurauia confusa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644449
Saurauia congestiflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644441
Saurauia conzattii,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270692
Saurauia copelandii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644395
Saurauia cordata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644388
Saurauia corynotricha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644355
Saurauia costata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644317
Saurauia crassisepala,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644299
Saurauia crenulata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644285
Saurauia cuatrecasana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644268
Saurauia erythrocarpa,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270780
Saurauia euryphylla,Saurauia,Actinidiaceae, Deciduous Broadleaf,11233361
Saurauia excelsa,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270765
Saurauia floccifera,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644673
Saurauia fragrans,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644593
Saurauia glabra,Saurauia,Actinidiaceae, Deciduous Broadleaf,8039830
Saurauia glabrifolia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644495
Saurauia gorokae,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644484
Saurauia gracilipes,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644469
Saurauia grandifolia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644460
Saurauia griffithii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644443
Saurauia hageniana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644437
Saurauia harlingii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644421
Saurauia hasskarliana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644413
Saurauia herthae,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270684
Saurauia hirsuta,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644338
Saurauia hoeveniana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644327
Saurauia holotricha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644319
Saurauia homotricha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644302
Saurauia horrida,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644287
Saurauia hosei,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644279
Saurauia kegeliana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644886
Saurauia laevigata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644814
Saurauia lehmannii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644746
Saurauia leprosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644704
Saurauia leucocarpa,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270740
Saurauia macrotricha,Saurauia,Actinidiaceae, Deciduous Broadleaf,8042744
Saurauia madrensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644504
Saurauia magnifica,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644486
Saurauia mahmudii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644480
Saurauia malayana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644472
Saurauia mamberamana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644463
Saurauia matudae,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644438
Saurauia meiandra,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644409
Saurauia meridensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644384
Saurauia merrillii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644375
Saurauia mexiae,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644363
Saurauia micayensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644349
Saurauia micrantha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644329
Saurauia microphylla,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644321
Saurauia minahassae,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644314
Saurauia mindorensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644305
Saurauia miniata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644289
Saurauia molinae,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644254
Saurauia montana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3645038
Saurauia napaulensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270803
Saurauia nudiflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644844
Saurauia oreophila,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270749
Saurauia oroquensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644691
Saurauia parviflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270726
Saurauia peduncularis,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270707
Saurauia pedunculata,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270696
Saurauia pendula,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644426
Saurauia pentapetala,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644419
Saurauia peruviana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644394
Saurauia petelotii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644387
Saurauia phaeosepala,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644378
Saurauia philippinensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644370
Saurauia pilogyne,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644365
Saurauia pittieri,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270680
Saurauia platyphylla,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644323
Saurauia pleurotricha,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644316
Saurauia polyneura,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644259
Saurauia portachuelensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644998
Saurauia prainiana,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270805
Saurauia pringlei,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270799
Saurauia pseudoleucocarpa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644864
Saurauia pseudostrigillosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644672
Saurauia pulchra,Saurauia,Actinidiaceae, Deciduous Broadleaf,7743097
Saurauia punduana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644610
Saurauia purgans,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644601
Saurauia pustulata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644576
Saurauia putumayonis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644562
Saurauia ramiflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644501
Saurauia reinwardtiana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644483
Saurauia rhodosma,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644436
Saurauia ridleyi,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644429
Saurauia rodatzii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644406
Saurauia roemeri,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644398
Saurauia roseata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644372
Saurauia roxburghii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644350
Saurauia rubens,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644347
Saurauia rubicunda,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644337
Saurauia rubiformis,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270673
Saurauia rubiginosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644301
Saurauia rubricalyx,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644294
Saurauia rubrisepala,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644278
Saurauia rubrisquamata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644270
Saurauia rudolfi,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644262
Saurauia rufa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644248
Saurauia rusbyi,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270813
Saurauia scabra,Saurauia,Actinidiaceae, Deciduous Broadleaf,8655778
Saurauia scabrida,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270782
Saurauia schultzeorum,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644765
Saurauia seibertii,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644730
Saurauia selerorum,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270745
Saurauia serrata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644688
Saurauia speciosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,9748720
Saurauia spectabilis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644548
Saurauia squamellicaula,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644471
Saurauia squamifructa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644455
Saurauia squamulosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644445
Saurauia sterrolepida,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644399
Saurauia stichophlebia,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644392
Saurauia striata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644374
Saurauia strigillosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644362
Saurauia subcordata,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644341
Saurauia submodesta,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644320
Saurauia subspinosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644313
Saurauia sumatrana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644296
Saurauia tafana,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644265
Saurauia tambensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644253
Saurauia tewensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3645037
Saurauia thyrsiflora,Saurauia,Actinidiaceae, Deciduous Broadleaf,3645009
Saurauia tomentosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270807
Saurauia ursina,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270773
Saurauia villosa,Saurauia,Actinidiaceae, Deciduous Broadleaf,7270747
Saurauia vulcani,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644697
Saurauia waldheimii,Saurauia,Actinidiaceae, Deciduous Broadleaf,7926881
Saurauia yunnanensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644515
Saurauia zahlbruckneri,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644498
Saurauia zamboangensis,Saurauia,Actinidiaceae, Deciduous Broadleaf,3644489
Bretschneidera sinensis,Bretschneidera,Akaniaceae, Deciduous Broadleaf,4030419
Achyranthes acuminata,Achyranthes,Amaranthaceae, Deciduous Broadleaf,3672893
